Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Size,Founded,Type_of_ownership,Industry,Sector,Revenue
Data Scientist,-1,"At Trella Health, we are passionate and committed to our mission – empowering meaningful change in healthcare. Since our founding in 2015, we continue to grow our team, enhance our solution and services offerings, accelerate into new markets, and expand our customer base. We are rapidly growing and are looking for new Trellavators to join our team!
""What is a Trellavator?"" you ask. Innovate and elevate is the name of our game! We go above and beyond to collaborate with and support each other – we believe that when a colleague or customers succeeds, we succeed. By learning from others, building on our successes, and taking risks, we constantly raise the bar – continuous improvement is in our DNA. Our word is paramount, we keep our commitments, and we always follow through. We have a strong, reliable support system that fuels growth, collaboration, and passion – and together, we create a positive environment where everyone at Trella Health, including the customers we support, can thrive. Are you ready to learn more about the opportunities with our team? Trell-yeah you are!",4.9,"Trella Health
4.8",Remote,51 to 200 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Vitria Data Scientist,-1,"At Vitria, you will use your creativity and expertise to apply your machine learning experience to our VIA AIOps product, improving our customers’ operational processes and services. In this role you will:
Understand our customers’ business problems, industry context, and data sources as well as how our VIA AIOps product addresses them
Work closely with our customer facing teams, product managers, and engineers to drive analytics based product improvements in our VIA AIOps product
Build, tune, and evaluate models for real-time time-series analysis, the detection and correlation of anomalies across disparate data sets, etc.
Incorporate human-generated labels from our customers into your model development",3.6,"Vitria Technology
3.6",Remote,201 to 500 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD)
IT Data Scientist I-IV,$76K - $107K (Glassdoor est.),"IT Data Scientist I-IV
- (2300494)

Founded in 1934, Medical Mutual is the oldest and one of the largest health insurance companies based in Ohio. We provide peace of mind to more than 1.6 million Ohioans through our high-quality health, life, disability, dental, vision and indemnity plans. We offer fully insured and self-funded group coverage, including stop loss, as well as Medicare Advantage, Medicare Supplement, and individual plans.
Medical Mutual’ s status as a mutual company means we are owned by our policyholders, not stockholders, so we don’t answer to Wall Street analysts or pay dividends to investors. Instead, we focus on developing products and services that allow us to better serve our customers and the communities around us and help our members achieve their best possible health and quality of life.",3.9,"Medical Mutual of Ohio
3.9","Brooklyn, OH",1001 to 5000 Employees,1934,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable
Forward Deployed Data Scientist,$97K - $155K (Glassdoor est.),"Come and change the world of AI with the Kumo team!

The creation of the data warehouse emerged to solve the analytics problem over large amounts of data. Now, we’ve moved from megabytes to gigabytes to terabytes of data storage with no end in sight and companies invest millions of dollars to store and organize that data and only leverage a fraction of it for machine learning.

With Kumo, we are building the first data platform to seamlessly allow machine learning over data warehouses for faster, simpler, and smarter predictions to combat data waste and maximize data value. Query the future with Kumo.

As a Forward Deployed Data Scientist, you will partner with customers to discover, design, develop, and deploy solutions using Kumo’s technology. Ideal candidates have a strategic and analytical aptitude, software engineering expertise, and strong interpersonal skills.",5.0,"Kumo
5.0","Mountain View, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist,$86K - $118K (Glassdoor est.),"MOTOR Information Systems, an owned subsidiary of Hearst, is actively seeking a Data Scientist who possesses talent, passion, and expertise in extracting valuable knowledge from complex datasets, contributing to the development of data-driven strategies, and improving the overall efficiency of our operations. MOTOR’s Insights team is a new team with an exponential growth opportunity – both in terms of technology and personnel, and we are looking for someone to share our mission that will transform our company’s future. As a Data Scientist, we expect this role to be instrumental in solving complex business problems, providing actionable insights, and supporting evidence-based decision-making. This position offers excellent career growth and promotional opportunities, stellar compensation, and an opportunity to work with the world's premier provider of aftermarket automotive data. Hearst and MOTOR Information Systems could very well be your best and last position in a rewarding and fulfilling career!




Degree Level :",3.6,"Hearst Media Services
3.6","Troy, MI",10000+ Employees,1887,Company - Private,Publishing,Media & Communication,$10+ billion (USD)
DATA SCIENTIST,$83K - $125K (Glassdoor est.),"Location: Secaucus, NJ

Position Type: Contract

Position Term: 12 Months

All submitted candidates must be on our W2

Candidates can must be able to relocate after Covid

Skills:
Immediate need senior Practitioner with experience of QlikSense.
Development for Data Scientist role.
Experience in QlikView – 10 years.
Experience in QlikSense.
Experience in Supply Chain data visualization.
Experience as Data Engineer.
Business Intelligence.",-1,TRA'BIAN ENTERPRISES,"Secaucus, NJ",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Sr. Data Scientist,-1,"Hims & Hers Health, Inc. (better known as Hims & Hers) is a multi-specialty telehealth platform building a virtual front door to the healthcare system. We connect consumers to licensed healthcare professionals, enabling people to access high-quality medical care—from wherever is most convenient—for numerous conditions related to sexual health, hair care, mental health, skincare, primary care, and more.
With products and services available across all 50 states and Washington, D.C., Hims & Hers is on a mission to help the world feel great through the power of better health. We believe how you feel in your body and mind transforms how you show up in life. That's why we're building a future where nothing stands in the way of harnessing this power. We normalize health & wellness challenges—and innovate on their solutions—to make feeling happy and healthy easy to achieve. No two people are the same, so we provide access to personalized care designed for results. At our core, our mission is deeply personal—because we too are customers.",4.0,"hims & hers
4.0",Remote,201 to 500 Employees,2017,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Scientist 3 DS3 (VV) 1034,$67K - $99K (Glassdoor est.),"Description
Clarity Innovations connects human creativity with emerging technology to design, develop, and deploy software that enhances mission success. Our focus is redefining the Government’s relationship with technology by encouraging the use of DevSecOps and Agile methodologies, small-teams constructs, modern tech stacks, and automation. Our software improves the lives and work of our end users and enhances innovation. We fulfil our responsibility to our country by delivering mission-changing results that help shape a better and safer world.
Description:
Access discovery and enablement
Analyst needs to be comfortable with XKS and DX
Automation and scripting using Python
Jupyter Notebook creation
C++ nice to have",4.8,"Clarity Innovations, LLC
4.8","Aurora, CO",1 to 50 Employees,2013,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable
Data Engineer,Employer Provided Salary:$60.00 Per Hour,"job title- Data Engineering
Must have citizenship
Must have's: * Python/Snowflake/AWS *
Past experience with Informatica or SnapLogic (ETL tools) and exposure to CI/CD pipelines * Oracle PL/SQL skills, writing queries, etc *
Great Communication
skills Nice to Have's: * Financial Services Industry experience * Experience with AWS DevOps and services like EC2, S3, IAM, EKS – people getting “above” the database developer role * Knowledge of Salesforce and Machine Learning algorithms (Data Scientist) * Someone that can lead advancement in the role",-1,Q2A Media Services Pvt Ltd,"Smithfield, RI",-1,-1,-1,-1,-1,-1
Education Data Scientist,Employer Provided Salary:$110K - $150K,"The AI in Education at Expatiate Communications, aims to develop algorithms for the prediction of educational outcomes from attendance records, graduation rates , suspension and k-12 tst data. In order to achieve this goal, novel and creative machine learning and statistical analysis is needed. The candidates will be in charge of developing and implementing such algorithms on a variety of data sources and on a variety of educational outcomes. As an Educational Data Scientist , you will research and implement state-of-the-art AI algorithms, apply off-the-shelf AI and data-centric tools, collect, maintain and store user data. You have demonstrated competence in developing highly scalable artificial intelligence systems and ship projects with multiple dependencies across teams to achieve brilliant outcomes for customers.
Description",-1,-1,"Pasadena, CA",-1,-1,-1,-1,-1,-1
Senior Data Scientist,-1,"Shape the future with intelligence and creativity!
We are looking for those passionate about a world where technology and creativity converge, where incredible work is inspired by brilliant analysis. Bold creators, owners and achievers. Ready to bring everything they've got, to build with care and consideration and deliver truly Intelligent Creative.
Responsibilities:
Design and develop Computer Vision, Natural Language processing and Machine Learning algorithms, in large-scale production systems and assess solutions performance with statistical analysis
Work with large datasets and solve difficult analysis problems, applying advanced analytical methods. Conduct end-to-end analyses, including data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.",2.9,"VidMob
3.2",Remote,201 to 500 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
Senior Data Scientist,$90K - $139K (Glassdoor est.),"SS&C is a global provider of investment and financial services and software for the financial services and healthcare industries. Named to Fortune 1000 list as top U.S. company based on revenue, SS&C is headquartered in Windsor, Connecticut and has 20,000+ employees in over 90 offices in 35 countries. Some 18,000 financial services and healthcare organizations, from the world's largest institutions to local firms, manage and account for their investments using SS&C's products and services.
Job Description
Senior Data Scientist
Location: Waltham, MA | Hybrid
Get To Know The Team:
Your deep experience with artificial intelligence, NLP, language models and advanced analytics is matched by a passion to build great products, lead innovation, be a mentor and guide to other Engineering team members. In the past you have been part of a startup or corporate innovation team working in fast-moving environments. You can point to numerous examples which have demonstrated your ability to creativity solve technical challenges.",3.1,"SS&C
3.1","Waltham, MA",10000+ Employees,1986,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
Data Scientist,-1,"Analytica is seeking a remote Data Scientist to support one or more dynamic, long-term federal government data science programs. The company works as a trusted advisor to U.S. federal government clients in health, civilian, and national security missions. The ideal candidate will be comfortable as a key member of a multi-disciplinary team working in an Agile environment to produce advanced analytics solutions.

Analytica has been recognized by Inc. Magazine as one of the 250 fastest-growing US small businesses for three consecutive years. We work with U.S. government clients to build data-driven products and cultures that make an impact on our daily lives. Analytica offers competitive compensation with opportunities for bonuses, employer-paid health care, unlimited training funds, and a 401k match.",3.4,"Analytica
3.4",Remote,51 to 200 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
DATA SCIENTIST,Employer Provided Salary:$75K - $175K,"Job Description:

Ignite is an ISO 9001:2015 and CMMI Services Level 3 certified, Service-Disabled Veteran-Owned Small Business (SDVOSB), headquartered in Huntsville, AL. By design, Ignite is a provider of professional services to customers in educational, federal, and commercial industries and in every action seeks to be the preeminent provider within this business space. Ignite upholds our values of competency, collaboration, innovation, reliability, and results through everything we do.
Ignite is currently seeking a driven, detail-oriented Data Scientist to join our team supporting our government partner. This position is expected to be onsite within a government facility. This applicant is someone who creatively approaches a variety of requirements to meet intelligence needs, can balance work on multiple tasks, and will work collaboratively with other scientists, engineers, and analysts.",3.9,"Ignite Fueling Innovation
3.9","Dayton, OH",51 to 200 Employees,2001,Company - Private,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD)
Sr. Data Scientist,$96K - $130K (Glassdoor est.),"Passionate about helping clients make the most of their analytics investments? Driven to succeed in a competitive and rapidly-changing business? Looking for an opportunity with a premiere provider of specialized consulting services with a collaborative, team oriented approach?
We are currently accepting applications from talented individuals who seek to advance their career within a fast-paced and challenging environment. We offer all CognoWiz team members a highly competitive compensation package that includes benefits and opportunities for both personal and professional growth.
Master’s degree in Computer Science, Engineering any, Technology or related and 2 yrs of exp to analyze large amounts of information to discover trends and patterns. Manipulate, transform and combine datafrom multiple data sources for use in analytics and reporting. Produce high ad hoc and standard reports, using R or SAS procedures. Efficiently identify and correct syntax and programming logic errors in SQL, Tableau and SAS code. Integrate R/SAS analysis with Tableau to deliver the results of statistical analysis within Tableau dashboards. Perform inferential statistical analysis in R or SAS, including statistical tests for significance, such as null-hypothesis testing, to validate results of analysis.",4.9,"Cognowiz
4.9","Herndon, VA",1 to 50 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD)
Data Scientist,$85K - $125K (Glassdoor est.),"Overview:
Arcfield is a leading provider of full lifecycle, mission-focused systems engineering and integration capabilities to the U.S. government and its allies. The company has more than 60 years of proven experience providing advanced engineering and analysis, IT and C5ISR capabilities to support our nation’s most critical national security missions. Headquartered in Chantilly, VA and with 16 offices around the world, Arcfield employs approximately 1,200 engineers, analysts, IT specialists, and other professionals who put our customers’ missions first, helping them solve their most complex challenges through innovations in modeling, simulation and analysis, digital transformation and C5ISR. Visit arcfield.com for more details.
Responsibilities:
The Data Scientist will support the Sponsor's organization responsible for championing governance and quality. The organization is focused on improving efficiency and capabilities to build, deliver, and sustain IT Network solutions. The selected candidate will be responsible for developing the means for measuring and visually reporting real-time, or near real-time, data for quality assurance Service Level Agreements (SLA) and Service Level Objectives (SLO). This will consist of working with multiple stakeholders in various groups to define, develop, and institutionalize strategic processes across multi-fabric information environments.
Qualifications:
EEO Statement:",4.1,"Arcfield
4.1","Herndon, VA",1001 to 5000 Employees,2021,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD)
Data Scientist,Employer Provided Salary:$75K - $130K,"The JAAW Group is proud to support the Department of Veterans Affairs and our Military! This positions requires the following skills and capabilities.

Evaluate data definitions in current and legacy patient advocacy tracking system and recommend changes to data definitions. Develop communication about these changes in Patient Advocate Tracking System (PATS) to ensure documentation accuracy and compliance.

Identify and define a set of Key Performance Indicators (KPIs) to be used to measure complaint resolution and patient advocacy. Contractor shall provide a detailed methodology for defining mentioned KPIs.",3.0,The JAAW Group,"Cottonwood Heights, UT",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist Advanced Development Program,$85K - $115K (Glassdoor est.),"Why join Vanguard’s Data Science Advanced Development Program? This program (a part of the broader Data & Analytics Advanced Development Programs) will provide an opportunity to collaborate alongside a team of best-in-class data scientists and leaders and influence the outcomes of over thirty million clients. Through hands-on involvement with critical work happening across Vanguard, equipped with the tools and resources to succeed, you will be positioned to grow as experts in data science. Make it count!
In this rotational program, you will
Experience a comprehensive approach to data science with rotations during which you will leverage deep dive diagnostics, predictive, and prescriptive analytics throughout three 6-month assignments. These rotations in various business areas will draw upon your experiences and interests as well as meet strategic business needs by working on high-impact assignments.
Vanguard is not offering visa sponsorship for this position.",3.7,"Vanguard
3.7","Charlotte, NC",10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
Database Administrator,Employer Provided Salary:$82K - $143K,"In a world of possibilities, pursue one with endless opportunities. Imagine Next!
When it comes to what you want in your career, if you can imagine it, you can do it at Parsons. Imagine a career working with intelligent, diverse people sharing a common quest. Imagine a workplace where you can be yourself. Where you can thrive. Where you can find your next, right now. We’ve got what you’re looking for.
Job Description:
Parsons has emerged as a leader in the development of cutting-edge solutions for the Department of Defense and Intelligence Community. Our tremendous success can be attributed to our people and our priorities. We hire the best, we make them a priority and we never lose focus on the mission. It’s why we’re here. We have built this cultural legacy by working closely with analysts and operators to understand their needs and delivering meaningful value through innovative, cost effective and intuitive software solutions.
Not Applicable/None
This position is part of our Federal Solutions team.
Our Federal Solutions segment delivers resources to our US government customers that ensure the success of missions around the globe. Our diverse, intelligent employees drive the state of the art as they provide services and solutions in the areas of defense, security, intelligence, infrastructure, and environmental. We promote a culture of excellence and close-knit teams that take pride in delivering, protecting, and sustaining our nation's most critical assets, from Earth to cyberspace. Throughout the company, our people are anticipating what’s next to deliver the solutions our customers need now.
$81,500.00 - $142,600.00
We value our employees and want our employees to take care of their overall wellbeing, which is why we offer best-in-class benefits such as medical, dental, vision, paid time off, 401(k), life insurance, flexible work schedules, and holidays to fit your busy lifestyle!
Parsons is an equal opportunity employer committed to diversity, equity, inclusion, and accessibility in the workplace. Diversity is ingrained in who we are, how we do business, and is one of our company’s core values. Parsons equally employs representation at all job levels for minority, female, disabled, protected veteran and LGBTQ+.
We truly invest and care about our employee’s wellbeing and provide endless growth opportunities as the sky is the limit, so aim for the stars! Imagine next and join the Parsons quest—APPLY TODAY!",3.9,"Parsons
3.9",Remote,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
Data Scientist,Employer Provided Salary:$70.00 - $73.00 Per Hour,"Data Scientist.
Twice a week in Jersey City. Locals Preferred
Must hAves:
More high level the better
Python
Time Series Forecasting- Univariate (ARIMA/SARIMA)/Multivariate(VARMA/SVARMA)
Lead Level Experience
Lead efforts to develop a model for internal cloud service capacity forecasting
Collaborate with the Capacity Management and Demand Management teams
Undertake preprocessing of structured and unstructured data.
Analyze large amounts of information to discover trends and patterns.
Present information using data visualization techniques.
Establish a repeatable process for this model's use
Completely document the model, its assumptions, methodology, validation and results
Identify gaps and opportunities for improvement
Proven experience as a Data Scientist or Data Analyst
Strong math skills (e.g., statistics, algebra, calculus)
Minimum of 2 years' experience with time series forecasting – Univariate (ARIMA/SARIMA)/Multivariate(VARMA/SVARMA)
Experience in data mining
Understanding of machine-learning and operations research
Strong Python skills with Pandas, numpy, sklearn, statsmodels
Experience using Microsoft suite of applications (Excel, PowerPoint),
Analytical mind and business acumen
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Mathematics, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Experience with Agile processes
Experience with Jira
¿¿Virtual server capacity / demand forecasting
Institutional knowledge of Bank operations and Cloud Services and Operations a plus.
Facility with source code management using git
Familiarity with business intelligence tools such as Tableau and Alteryx
Familiarity with data transformation tools such as SSIS, DQS and DQM
Familiarity with data frameworks such as ETL Framework",-1,Verdant Infotech Solutions,"Jersey City, NJ",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist Machine Learning and Deep Learning,-1,"The primary purpose of this data scientist is to contribute to building the data infrastructure of our flagship platform A3D3a: Adaptive, AI-augmented, Drug Discovery and Development. With expertise in data architecture, the Data Scientist will directly contribute our mission to discover novel therapies for cancer patients. Led by Prof. Bissan Al-Lazikani, Director of Therapeutics Data Science, the intelligent and ever-learning A3D3a platform is part of the new initiative in Therapeutics Data Science and part of our ambitious Institute for Data Science in Oncology at MD Anderson. A3D3a will accelerate the discovery and impact of novel therapies for cancer by enabling novel opportunities for optimized therapies for patients with a focus on rare and hard-to-treat cancers through the development of novel machine learning and AI technologies.
Central to this vision, the Data Scientist will build and maintain data infrastructure to enable the discovery of hidden therapeutic opportunities in integrated patient data and will work closely with data scientists, data engineers, bioinformaticians, and molecular modelers.

Key Functions:




EDUCATION:
Required: Bachelor's degree in Biomedical Engineering, Electrical Engineering, Computer Engineering, Physics, Applied Mathematics, Science, Engineering, Computer Science, Statistics, Computational Biology, or related field.

Preferred: PhD in Biomedical Engineering, Electrical Engineering, Computer Engineering, Physics, Applied Mathematics, Science, Engineering, Computer Science, Statistics, Computational Biology, or related field.

EXPERIENCE:

Required: Three years experience in scientific software development/analysis. With Master's degree, one years experience required. With PhD, no experience required.

It is the policy of The University of Texas MD Anderson Cancer Center to provide equal employment opportunity without regard to race, color, religion, age, national origin, sex, gender, sexual orientation, gender identity/expression, disability, protected veteran status, genetic information, or any other basis protected by institutional policy or by federal, state or local laws unless such distinction is required by law. http://www.mdanderson.org/about-us/legal-and-policy/legal-statements/eeo-affirmative-action.html

Additional Information

#LI-Hybrid",4.1,"MD Anderson Cancer Center
4.1","Houston, TX",10000+ Employees,1941,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD)
Lead Data Scientist,-1,"Mosaic Data Science, located in the Northern Virginia/Washington, DC Metro area,
encourages qualified lead data scientists to contact us regarding current full-time, salaried
consulting opportunities in the United States and Canada.
Mosaic Data Science is a dynamic, growing data science consultancy solving some of the
most complex and interesting problems in industry. At Mosaic, you’ll contribute to data
science projects requiring a variety of analytical and business skills in many verticals,
including logistics, retail, utilities, healthcare, telecommunications, media, oil and gas, and
manufacturing. As a lead data scientist, you will have responsibility for technical direction
and execution on data science projects, and you will manage the work of the data scientists,
analysts, and software engineers on the project team. You’ll work with talented, creative,
and self-motivated colleagues who hold themselves to very high standards of
professionalism and quality. You will work closely with customers to understand their
business problems and design and scope analytics-based solutions ; part-time travel to
customer sites may be required. Telecommute options are available. You can expect your
responsibilities to grow as quickly as you’re willing and able to meet them. You’ll enjoy a
fantastic benefits package that includes profit sharing and generous personal leave,
professional development opportunities, as well as first-rate healthcare and retirement
benefits. Most folks who join Mosaic stay here for a long time.


Bachelor’s degree or higher in applied math, statistics, operations research,
computer science, engineering, physics, cognitive science, or a related field;
Master’s/PhD preferred
Working knowledge of statistics, machine learning, optimization, data visualization,
computer programming, and database systems
Expert knowledge in one or more technical domains of data science, such as
Computer Vision, Natural Language Processing, ML Engineering, or MLOps
Proficiency and significant experience with R or Python and relevant data
manipulation, visualization, and machine learning libraries
4+ years of experience applying technical skills to real-world business problems
1+ years of experience leading data science projects
Strong written and verbal communication skills, a high level of professionalism, and
genuine customer orientation
Willingness and ability to learn new skills, tools, and business domains quickly on the
job
Desire to collaborate with, learn from, and share knowledge with colleagues
Must be a US or Canadian Citizen or Permanent Resident

Interested applicants should submit a cover letter and resume to:
employment@mosaicdatascience.com.
All qualified applicants will receive consideration for employment and will not be
discriminated against on the basis of race, color, religion, sex, sexual orientation, gender
identity, national origin, age, disability, or protected veteran status. Mosaic Data Science
takes affirmative action in support of its policy to employ and advance in employment
individuals who are minorities, women, protected veterans, and individuals with disabilities.
www.mosaicdatascience.com",5.0,Mosaic Data Science,Virginia,51 to 200 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Global Technology Transformation Analytics Vice President,Employer Provided Salary:$128K - $190K,"JOB DESCRIPTION

The Global Technology Transformation team is part of the Global Technology organization that also has accountability to the Office of the Chief Financial Officer organization supporting all Corporate Sector and Line of Business Technology functions. The team provides oversight and control for firmwide Technology expenditures, designs and delivers central reporting and actionable analysis, and leads Technology transformation program execution.
Job summary
In the role of Vice President, you will be reporting to the Global Technology Transformation Program Management Executive Director. You will be a part of a growing, dynamic team that partners with leaders in Finance, Business Management, Technology Strategy, and Engineering to track and drive accelerated progress against our technology modernization priorities and objectives spanning infrastructure, software delivery methods and tools, and engineering practices.






Our professionals in our Corporate Functions cover a diverse range of areas from finance and risk to human resources and marketing. Our corporate teams are an essential part of our company, ensuring that we’re setting our businesses, clients, customers and employees up for success.",4.0,"JPMorgan Chase & Co
4.0","New York, NY",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
Senior Data Scientist,Employer Provided Salary:$145K,"Job Summary:
We are seeking a talented and experienced Senior Data Scientist to join our organization. The successful candidate will be responsible for collecting and analyzing sales data from multiple campaigns, including door-to-door, retail, and business-to-business, to generate accurate and insightful forecasts of expected sales revenue. Additionally, the candidate will play a pivotal role in leading a small team of Financial Planning and Analysis (FP&A) professionals. The ideal candidate has a strong background in data analysis, statistical modeling, team management, and excellent communication and presentation skills.
Responsibilities:
1. Sales Data Collection and Analysis:",4.3,"Cydcor
4.3","Agoura Hills, CA",51 to 200 Employees,1994,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD)
Remote - Data Scientist,Employer Provided Salary:$79K - $120K,"We’re looking for talented professionals, anywhere in the United States, to join us in bringing smart money management and payment solutions to everyone’s fingertips.
At Green Dot, we are evolving to a new and permanent “Work from Anywhere” model designed to maximize the benefits of remote work, promote and enable a strong culture of performance and connectedness, and attract the best and brightest talent who align with our entrepreneurial spirit and mission.
<<>><<>><<>><<>><<>><<>><<>><<>><<>><<>>
JOB DESCRIPTION
This is an exciting opportunity to apply data science techniques and drive growth and revenue of Green Dot’s Business, Enterprise-wide. Our data science team works on several projects across the entire company including Churn Modelling and Customer Scoring for Marketing efforts, Revenue Prediction Modeling for Accounting and Finance and Cash Advance Customer Modeling for our Award-Winning Tax Products.
Regular
The targeted base salary for this position is $78,800 to $120,200 per year. The final compensation will be determined by a number of factors such as qualifications, expertise, and the candidate’s geographical location.",3.0,"Green Dot Corporation
3.1",Remote,1001 to 5000 Employees,1999,Company - Public,Financial Transaction Processing,Financial Services,$1 to $5 billion (USD)
Market Data Analyst,$53K - $77K (Glassdoor est.),"Summary:
**PLEASE NOTE - This is NOT a technical role for a Data Analyst, Data Scientist or someone with an IT background. Candidates MUST have experience in the Market Data realm and be able to administer Market Data contracts. Please read the description before you apply**
The Market Data Analyst at S4 Market Data will oversee client projects and be responsible for the overall service delivery of our managed services with respective clients. This position will manage market data service inquiries and projects from clients as well as manage a market data administrator within the projects to ensure administrative tasks are being completed in an accurate and timely manner. The ideal candidate will have market data vendor management and administrative experience; sourcing and negotiating contracts, managing procurement/sourcing requests throughout the spend life cycle, speaking with internal business units and stakeholders (legal, finance, IT, etc.) to procure goods/services for our clients. The candidate needs to be located in the US, this is a fully remote position.",-1,S4 Market Data,"Trenton, NJ",Unknown,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$94K - $132K (Glassdoor est.),"The University of Iowa is seeking a Data Scientist to hold responsibility for supporting the creation and implementation of institutional data strategy by engaging with campus as outlined by the University of Iowa and OneIT strategic plans. This position is expected to focus and provide leadership on the technical aspects of our data strategy, including data infrastructure, tooling, processes, and solutions, working with campus to advance efforts in those areas.
Ideal candidates will have excellent technical and interpersonal skills as well as a strong commitment to supporting our values that include team focus, creative problem solving, and technical curiosity. You will have the opportunity to grow technically and professionally while working on a collaborative team.
ITS values work life balance and strives to provide flexible work options where possible. This position is eligible for hybrid/remote work within Iowa and will require a work arrangement form to be completed upon the start of your employment. Per policy, work arrangements will be reviewed annually, and must comply with the remote work program and related policies and employee travel policy when working at a remote location.",3.9,"The University of Iowa
3.9","Iowa City, IA",10000+ Employees,1898,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD)
College Graduate - Data Science (BS/MS),Employer Provided Salary:$106K - $159K,"Job Description

Intel is a company of bold and curious inventors and problem solvers who create some of the most astounding technology advancements and experiences in the world.

With a legacy of relentless innovation and a commitment to bring smart, connected devices to every person on Earth, our diverse and brilliant teams are continually searching for tomorrow's technology and revel in the challenge that changing the world for the better brings. We work every single day to design and manufacture silicon products that empower peoples digital lives.

Do you love to solve technical challenges that no one has solved yet? Do you enjoy working with cross functional teams to deliver IP solutions for products that impact customers lives? If so, Come join us to do something wonderful.

We are looking for world class data engineers to help us build the future of technology.














Intel's Human Resources group is responsible for hiring, developing and retaining the best and brightest employees while continuing to strengthen the company's culture and values. Intel Human Resources provides first-rate, cost-effective services and support to employees worldwide and is dedicated to advancing Intel's business goals.

US, NM, Albuquerque; US, OR, Hillsboro; US, TX, Austin; US, CA, Folsom; US, CA, Santa Clara; US, GA, Atlanta

Intel strongly encourages employees to be vaccinated against COVID-19. Intel aligns to federal, state, and local laws and as a contractor to the U.S. Government is subject to government mandates that may be issued. Intel policies for COVID-19 including guidance about testing and vaccination are subject to change over time.

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

Annual Salary Range for jobs which could be performed in US, California: $105,930.00-$158,890.00


This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",4.1,"INTEL
4.1","Santa Clara, CA",10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Scientist,$91K - $129K (Glassdoor est.),"About InterDigital
InterDigital develops fundamental wireless and video technologies that are at the core of mobile devices, networks, and services worldwide. We solve many of the industry's most critical and complex technical challenges, inventing solutions for more efficient broadband networks and richer multimedia experiences, years ahead of market deployment. InterDigital has licenses and strategic relationships with many of the world's leading wireless companies. Founded in 1972, InterDigital is listed on NASDAQ and is included in the S&P MidCap 400® index. For more information please visit www.interdigital.com.
Summary
InterDigital is currently seeking a Data Scientist to work in our IS Department. We are looking for a Data Scientist to provide insights into the business through statistical analysis, data mining and data visualization techniques. The successful candidate will be intricately involved with our Data Management and Information Delivery team in the governance, development and maintenance of our reporting solution including the refinement of a data framework and implementation of Machine Learning and Artificial Intelligence solutions.",3.8,"INTERDIGITAL COMM CORP
3.8","Conshohocken, PA",201 to 500 Employees,-1,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
